Frame,Time,Speed,Gear,RPM,Tyre_FL,Tyre_FR,Tyre_RL,Tyre_RR
43950,691.937,50,4,4017,21.8428,21.8428,24.8167,24.8167
43951,691.955,49,4,4018,21.8428,21.8428,24.8167,24.8167
43952,691.972,49,4,4019,21.8428,21.8428,24.8167,24.8167
43953,691.99,49,4,4019,21.8428,21.8428,24.8167,24.8167
43954,692.008,49,4,4018,21.8428,21.8428,24.8167,24.8167
43955,692.027,49,4,4017,21.8428,21.8428,24.8167,24.8167
43956,692.037,49,4,4015,21.8428,21.8428,24.8167,24.8167
43957,692.057,49,4,4013,21.8428,21.8428,24.8167,24.8167
43958,692.075,49,4,4011,21.8428,21.8428,24.8167,24.8167
43959,692.084,49,4,4008,21.8428,21.8428,24.8167,24.8167
43960,692.102,49,4,4005,21.8428,21.8428,24.8167,24.8167
43961,692.12,49,4,4002,21.8428,21.8428,24.8167,24.8167
43962,692.138,49,4,3999,21.8428,21.8428,24.8167,24.8167
43963,692.155,49,4,3996,21.8428,21.8428,24.8167,24.8167
43964,692.173,49,4,3993,21.8428,21.8428,24.8167,24.8167
43965,692.19,49,4,3990,21.8428,21.8428,24.8167,24.8167
43966,692.207,49,4,3987,21.8428,21.8428,24.8167,24.8167
43967,692.224,49,4,3985,21.8428,21.8428,24.8167,24.8167
43968,692.242,49,4,3986,21.8428,21.8428,24.8167,24.8167
43969,692.26,49,4,3994,21.8428,21.8428,24.8167,24.8167
43970,692.269,49,4,4005,21.8428,21.8428,24.8167,24.8167
43971,692.286,49,4,4026,21.8428,21.8428,24.8167,24.8167
43972,692.304,48,4,4057,21.8428,21.8428,24.8167,24.8167
43973,692.321,48,4,4098,21.8428,21.8428,24.8167,24.8167
43974,692.338,48,4,4141,21.8428,21.8428,24.8167,24.8167
43975,692.355,48,4,4187,21.8428,21.8428,24.8167,24.8167
43976,692.372,48,4,4234,21.8428,21.8428,24.8167,24.8167
43977,692.389,48,4,4274,21.8428,21.8428,24.8167,24.8167
43978,692.405,48,4,4282,21.8428,21.8428,24.8167,24.8167
43979,692.422,49,4,4282,21.8428,21.8428,24.8167,24.8167
43980,692.439,49,4,4280,21.8428,21.8428,24.8167,24.8167
43981,692.455,49,4,4277,21.8428,21.8428,24.8167,24.8167
43982,692.472,49,4,4270,21.8428,21.8428,24.8167,24.8167
43983,692.488,49,4,4266,21.8428,21.8428,24.8167,24.8167
43984,692.505,49,4,4254,21.8428,21.8428,24.8167,24.8167
43985,692.521,49,4,4236,21.8428,21.8428,24.8167,24.8167
43986,692.538,49,4,4227,21.8428,21.8428,24.8167,24.8167
43987,692.555,49,4,4222,21.8428,21.8428,24.8167,24.8167
43988,692.572,49,4,4218,21.8428,21.8428,24.8167,24.8167
43989,692.59,49,4,4217,21.8428,21.8428,24.8167,24.8167
43990,692.607,49,4,4219,21.8428,21.8428,24.8167,24.8167
43991,692.624,49,4,4221,21.8428,21.8428,24.8167,24.8167
43992,692.642,49,4,4224,21.8428,21.8428,24.8167,24.8167
43993,692.66,49,4,4228,21.8428,21.8428,24.8167,24.8167
43994,692.677,49,4,4229,21.8428,21.8428,24.8167,24.8167
43995,692.695,49,4,4232,21.8428,21.8428,24.8167,24.8167
43996,692.704,49,4,4234,21.8428,21.8428,24.8167,24.8167
43997,692.722,49,4,4234,21.8428,21.8428,24.8167,24.8167
43998,692.739,49,4,4230,21.8428,21.8428,24.8167,24.8167
43999,692.757,49,4,4225,21.8428,21.8428,24.8167,24.8167
44000,692.774,50,4,4218,21.8428,21.8428,24.8167,24.8167
44001,692.791,50,4,4208,21.8428,21.8428,24.8167,24.8167
44002,692.809,50,4,4193,21.8428,21.8428,24.8167,24.8167
44003,692.827,49,4,4158,21.8428,21.8428,24.8167,24.8167
44004,692.845,49,4,4115,21.8428,21.8428,24.8167,24.8167
44005,692.854,49,4,4069,21.8428,21.8428,24.8167,24.8167
44006,692.872,49,4,4021,21.8428,21.8428,24.8167,24.8167
44007,692.89,49,4,4018,21.8428,21.8428,24.8167,24.8167
44008,692.908,49,4,4016,21.8428,21.8428,24.8167,24.8167
44009,692.926,49,4,4019,21.8428,21.8428,24.8167,24.8167
44010,692.943,49,4,4025,21.8428,21.8428,24.8167,24.8167
44011,692.961,49,4,4043,21.8428,21.8428,24.8167,24.8167
44012,692.97,49,4,4074,21.8428,21.8428,24.8167,24.8167
44013,692.987,49,4,4112,21.8428,21.8428,24.8167,24.8167
44014,693.004,49,4,4155,21.8428,21.8428,24.8167,24.8167
44015,693.022,49,4,4201,21.8428,21.8428,24.8167,24.8167
44016,693.04,49,4,4269,21.8428,21.8428,24.8167,24.8167
44017,693.057,49,4,4281,21.8428,21.8428,24.8167,24.8167
44018,693.075,49,4,4284,21.8428,21.8428,24.8167,24.8167
44019,693.093,50,4,4283,21.8428,21.8428,24.8167,24.8167
44020,693.111,50,4,4283,21.8428,21.8428,24.8167,24.8167
44021,693.12,50,4,4285,21.8428,21.8428,24.8167,24.8167
44022,693.137,50,4,4288,21.8428,21.8428,24.8167,24.8167
44023,693.154,50,4,4299,21.8428,21.8428,24.8167,24.8167
44024,693.172,50,4,4311,21.8428,21.8428,24.8167,24.8167
44025,693.189,50,4,4320,21.8428,21.8428,24.8167,24.8167
44026,693.206,50,4,4330,21.8428,21.8428,24.8167,24.8167
44027,693.224,51,4,4339,21.8428,21.8428,24.8167,24.8167
44028,693.241,51,4,4353,21.8428,21.8428,24.8167,24.8167
44029,693.259,51,4,4359,21.8428,21.8428,24.8167,24.8167
44030,693.277,51,4,4361,21.8428,21.8428,24.8167,24.8167
44031,693.285,51,4,4370,21.8428,21.8428,24.8167,24.8167
44032,693.303,52,4,4386,21.8428,21.8428,24.8167,24.8167
44033,693.32,52,4,4436,21.8428,21.8428,24.8167,24.8167
44034,693.338,52,4,4431,21.8428,21.8428,24.8167,24.8167
44035,693.356,53,4,4446,21.8428,21.8428,24.8167,24.8167
44036,693.374,53,4,4450,21.8428,21.8428,24.8167,24.8167
44037,693.391,53,4,4455,21.8428,21.8428,24.8167,24.8167
44038,693.409,54,4,4459,21.8428,21.8428,24.8167,24.8167
44039,693.427,54,4,4459,21.8428,21.8428,24.8167,24.8167
44040,693.436,54,4,4459,21.8428,21.8428,24.8167,24.8167
44041,693.453,55,4,4463,21.8428,21.8428,24.8167,24.8167
44042,693.47,55,4,4468,21.8428,21.8428,24.8167,24.8167
44043,693.488,55,4,4472,21.8428,21.8428,24.8167,24.8167
44044,693.505,56,4,4474,21.8428,21.8428,24.8167,24.8167
44045,693.522,56,4,4475,21.8428,21.8428,24.8167,24.8167
44046,693.54,56,4,4477,21.8428,21.8428,24.8167,24.8167
44047,693.557,57,4,4476,21.8428,21.8428,24.8167,24.8167
44048,693.575,57,4,4477,21.8428,21.8428,24.8167,24.8167
44049,693.593,58,4,4477,21.8428,21.8428,24.8167,24.8167
44050,693.602,58,4,4474,21.8428,21.8428,24.8167,24.8167
44051,693.62,58,4,4475,21.8428,21.8428,24.8167,24.8167
44052,693.637,59,4,4473,21.8428,21.8428,24.8167,24.8167
44053,693.655,59,4,4472,21.8428,21.8428,24.8167,24.8167
44054,693.673,59,4,4468,21.8428,21.8428,24.8167,24.8167
44055,693.691,60,4,4465,21.8428,21.8428,24.8167,24.8167
44056,693.708,60,4,4456,21.8428,21.8428,24.8167,24.8167
44057,693.725,60,4,4393,21.8428,21.8428,24.8167,24.8167
44058,693.742,61,4,4351,21.8428,21.8428,24.8167,24.8167
44059,693.759,61,4,4302,21.8428,21.8428,24.8167,24.8167
